user_id,timestamp,activity_type,device_id,location,network_activity_flag,attack_label,session_duration,platform_usage,login_hour,device_change_flag,location_change_flag,midnight_login_flag,high_activity_flag,short_session_flag,network_anomaly_flag,risk_score,is_anomaly,anomaly_type
USR_000,2025-03-11T01:15:00Z,file_access,ThinkPad_X1,London,1,normal,171,Slack,1,0,0,1,0,0,0,0.1,0,None
USR_000,2025-03-25T06:22:00Z,login,ThinkPad_X1,London,1,normal,1618,Twitter,6,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-13T17:25:00Z,upload,ThinkPad_X1,London,1,normal,1935,GitHub,17,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-14T15:46:00Z,logout,ThinkPad_X1,London,1,normal,1653,Twitter,15,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-05T02:14:00Z,login,ThinkPad_X1,London,1,normal,1420,Slack,2,0,0,1,0,0,0,0.1,0,None
USR_000,2025-03-16T11:11:00Z,login,ThinkPad_X1,London,1,normal,1111,LinkedIn,11,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-19T12:20:00Z,file_access,Workstation_01,London,1,normal,2380,Twitter,12,1,0,0,0,0,0,0.2,0,None
USR_000,2025-03-13T06:13:00Z,download,ThinkPad_X1,London,1,normal,706,Twitter,6,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-10T23:08:00Z,download,ThinkPad_X1,London,1,normal,1330,LinkedIn,23,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-16T21:27:00Z,file_access,ThinkPad_X1,London,1,normal,3079,Twitter,21,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-04T12:02:00Z,file_access,ThinkPad_X1,London,1,normal,1201,Twitter,12,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-18T17:22:00Z,file_access,ThinkPad_X1,London,1,normal,1898,GitHub,17,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-10T00:27:00Z,file_access,Mobile_Android,Singapore,1,normal,3127,GitHub,0,1,1,1,0,0,0,0.5,1,location
USR_000,2025-03-16T19:56:00Z,file_access,ThinkPad_X1,London,1,normal,2537,Teams,19,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-13T08:39:00Z,download,ThinkPad_X1,London,1,normal,2895,LinkedIn,8,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-27T08:58:00Z,login,MacBook_Air,London,1,normal,2573,Twitter,8,1,0,0,0,0,0,0.2,0,None
USR_000,2025-03-04T23:00:00Z,file_access,MacBook_Air,London,1,normal,864,Slack,23,1,0,0,1,0,0,0.3,1,location
USR_000,2025-03-16T08:28:00Z,upload,ThinkPad_X1,London,1,normal,1718,Slack,8,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-18T07:35:00Z,file_access,ThinkPad_X1,London,1,normal,3395,Slack,7,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-01T14:25:00Z,logout,ThinkPad_X1,Surabaya,1,normal,1886,Twitter,14,0,1,0,0,0,0,0.2,0,None
USR_000,2025-03-02T15:57:00Z,upload,ThinkPad_X1,London,1,normal,3132,Slack,15,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-25T18:51:00Z,logout,Mobile_iOS,London,1,normal,975,Teams,18,1,0,0,0,0,0,0.2,0,None
USR_000,2025-03-12T07:57:00Z,file_access,ThinkPad_X1,London,1,normal,3116,Teams,7,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-18T20:27:00Z,download,ThinkPad_X1,London,1,normal,1367,LinkedIn,20,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-25T05:05:00Z,download,ThinkPad_X1,London,1,normal,69,GitHub,5,0,0,1,0,1,0,0.2,0,None
USR_000,2025-03-05T06:13:00Z,file_access,ThinkPad_X1,London,1,normal,381,Teams,6,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-29T08:59:00Z,file_access,ThinkPad_X1,London,1,normal,2934,GitHub,8,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-28T22:28:00Z,download,ThinkPad_X1,London,1,normal,787,GitHub,22,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-21T13:40:00Z,download,ThinkPad_X1,London,1,normal,1847,GitHub,13,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-24T14:22:00Z,download,ThinkPad_X1,London,1,normal,3587,Twitter,14,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-04T04:04:00Z,login,ThinkPad_X1,London,1,normal,285,Slack,4,0,0,1,0,0,0,0.1,0,None
USR_000,2025-03-02T13:37:00Z,login,ThinkPad_X1,London,1,probe,3144,Twitter,13,0,0,0,0,0,1,0.3,1,network
USR_000,2025-03-08T22:01:00Z,file_access,Mobile_Android,London,1,normal,1218,GitHub,22,1,0,0,0,0,0,0.2,0,None
USR_000,2025-03-17T14:39:00Z,logout,ThinkPad_X1,London,1,probe,1224,Twitter,14,0,0,0,0,0,1,0.3,1,network
USR_000,2025-03-16T19:49:00Z,login,ThinkPad_X1,London,1,normal,2006,Teams,19,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-30T12:34:00Z,upload,ThinkPad_X1,London,1,normal,1782,Teams,12,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-16T16:37:00Z,download,ThinkPad_X1,London,1,normal,111,Teams,16,0,0,0,0,1,0,0.1,0,None
USR_000,2025-03-25T14:13:00Z,logout,ThinkPad_X1,London,1,normal,1522,Twitter,14,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-14T11:46:00Z,download,ThinkPad_X1,Medan,1,normal,2176,Twitter,11,0,1,0,0,0,0,0.2,0,None
USR_000,2025-03-12T16:12:00Z,download,Workstation_01,London,1,normal,1259,Teams,16,1,0,0,1,0,0,0.3,1,location
USR_000,2025-03-03T02:02:00Z,login,ThinkPad_X1,London,1,normal,2385,Slack,2,0,0,1,0,0,0,0.1,0,None
USR_000,2025-03-12T10:25:00Z,file_access,ThinkPad_X1,London,1,normal,3357,Twitter,10,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-15T12:01:00Z,file_access,ThinkPad_X1,London,1,normal,3457,GitHub,12,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-04T11:59:00Z,file_access,ThinkPad_X1,London,1,normal,2127,LinkedIn,11,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-12T19:45:00Z,download,ThinkPad_X1,London,1,normal,368,GitHub,19,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-12T22:09:00Z,download,ThinkPad_X1,London,1,normal,465,Slack,22,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-23T20:38:00Z,logout,ThinkPad_X1,London,1,normal,636,Slack,20,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-28T22:05:00Z,upload,ThinkPad_X1,London,1,normal,672,LinkedIn,22,0,0,0,0,0,0,0.0,0,None
USR_000,2025-03-14T00:43:00Z,upload,ThinkPad_X1,London,1,normal,3261,LinkedIn,0,0,0,1,0,0,0,0.1,0,None
USR_000,2025-03-07T04:13:00Z,upload,ThinkPad_X1,London,1,normal,1609,LinkedIn,4,0,0,1,0,0,0,0.1,0,None
USR_001,2025-03-23T16:47:00Z,file_access,Mobile_Android,Singapore,1,normal,2896,GitHub,16,0,0,0,0,0,0,0.0,0,None
USR_001,2025-03-29T08:48:00Z,login,Mobile_Android,Singapore,1,normal,3033,Slack,8,0,0,0,0,0,0,0.0,0,None
USR_001,2025-03-22T23:31:00Z,download,Mobile_Android,Singapore,1,normal,2554,LinkedIn,23,0,0,0,0,0,0,0.0,0,None
USR_001,2025-03-11T15:27:00Z,download,MacBook_Air,Singapore,1,normal,2012,Slack,15,1,0,0,0,0,0,0.2,0,None
