user_id,timestamp,device_id,location,user_role,activity_type,resource_accessed,session_duration,is_anomaly,anomaly_type,login_hour,device_change_flag,location_change_flag,midnight_login_flag,short_session_flag,high_activity_flag,risk_score
USR_001,2024-01-01 12:25:47,MacBook-Pro,Jakarta,admin,logout,server,3947,0,None,12,0,0,0,0,0,0.0
USR_001,2024-01-02 08:29:26,MacBook-Pro,Jakarta,admin,download,server,3944,0,None,8,0,0,0,0,0,0.0
USR_001,2024-01-02 13:58:53,MacBook-Pro,Jakarta,admin,login,server,3683,0,None,13,0,0,0,0,0,0.0
USR_001,2024-01-03 09:05:46,MacBook-Pro,Jakarta,admin,file_access,database,3852,0,None,9,0,0,0,0,0,0.0
USR_001,2024-01-03 10:56:58,MacBook-Pro,Jakarta,admin,login,public_docs,3368,0,privilege,10,0,0,0,0,0,0.0
USR_001,2024-01-03 15:07:25,MacBook-Pro,Jakarta,admin,upload,database,3793,0,None,15,0,0,0,0,0,0.0
USR_001,2024-01-04 12:07:55,MacBook-Pro,Jakarta,admin,logout,public_docs,3854,0,None,12,0,0,0,0,0,0.0
USR_001,2024-01-04 12:10:00,MacBook-Pro,Jakarta,admin,login,public_docs,3942,0,None,12,0,0,0,0,0,0.0
USR_001,2024-01-05 08:41:52,MacBook-Pro,Jakarta,admin,login,admin_panel,3591,0,None,8,0,0,0,0,0,0.0
USR_001,2024-01-05 09:05:22,MacBook-Pro,Jakarta,admin,upload,admin_panel,3527,0,None,9,0,0,0,0,0,0.0
USR_001,2024-01-08 09:37:45,MacBook-Pro,Jakarta,admin,upload,public_docs,3455,0,None,9,0,0,0,0,0,0.0
USR_001,2024-01-08 09:49:01,MacBook-Pro,Jakarta,admin,login,database,3871,0,None,9,0,0,0,0,0,0.0
USR_001,2024-01-08 14:04:24,MacBook-Pro,Jakarta,admin,login,public_docs,3509,0,None,14,0,0,0,0,0,0.0
USR_001,2024-01-09 02:40:15,MacBook-Pro,Jakarta,admin,download,database,3712,1,temporal,2,0,0,1,0,0,0.2
USR_001,2024-01-09 09:59:52,MacBook-Pro,Jakarta,admin,download,database,3846,0,None,9,0,0,0,0,0,0.0
USR_001,2024-01-10 11:53:07,MacBook-Pro,Jakarta,admin,file_access,admin_panel,3471,0,None,11,0,0,0,0,0,0.0
USR_001,2024-01-10 15:33:12,MacBook-Pro,Jakarta,admin,upload,public_docs,3375,0,None,15,0,0,0,0,0,0.0
USR_001,2024-01-11 08:53:06,MacBook-Pro,Jakarta,admin,file_access,database,3384,0,None,8,0,0,0,0,0,0.0
USR_001,2024-01-11 14:35:37,MacBook-Pro,Jakarta,admin,upload,internal_tool,3453,0,None,14,0,0,0,0,0,0.0
USR_001,2024-01-12 08:33:23,MacBook-Pro,Jakarta,admin,download,server,3901,0,None,8,0,0,0,0,0,0.0
USR_001,2024-01-13 08:17:57,MacBook-Pro,London,admin,file_access,public_docs,3400,1,location,8,0,1,0,0,0,0.2
USR_001,2024-01-15 09:03:04,MacBook-Pro,Jakarta,admin,download,server,3731,0,None,9,0,0,0,0,0,0.0
USR_001,2024-01-15 12:31:56,MacBook-Pro,Jakarta,admin,file_access,public_docs,3431,0,None,12,0,0,0,0,0,0.0
USR_001,2024-01-15 12:32:52,Galaxy-S22,Jakarta,admin,login,internal_tool,3467,1,behavioral,12,1,0,0,0,0,0.2
USR_001,2024-01-16 09:32:54,MacBook-Pro,Jakarta,admin,download,admin_panel,3456,0,privilege,9,0,0,0,0,0,0.0
USR_001,2024-01-16 14:30:06,MacBook-Pro,Jakarta,admin,upload,database,3839,0,None,14,0,0,0,0,0,0.0
USR_001,2024-01-17 13:28:26,MacBook-Pro,Jakarta,admin,upload,database,3652,0,None,13,0,0,0,0,0,0.0
USR_001,2024-01-17 14:19:45,MacBook-Pro,Jakarta,admin,upload,admin_panel,3891,0,None,14,0,0,0,0,0,0.0
USR_001,2024-01-18 09:49:55,iPad-Pro,Jakarta,admin,logout,admin_panel,3602,1,behavioral,9,1,0,0,0,0,0.2
USR_001,2024-01-19 09:31:15,MacBook-Pro,Jakarta,admin,upload,database,3797,0,None,9,0,0,0,0,0,0.0
USR_001,2024-01-19 09:44:39,MacBook-Pro,Jakarta,admin,upload,database,3515,0,None,9,0,0,0,0,0,0.0
USR_001,2024-01-19 13:51:04,MacBook-Pro,Jakarta,admin,upload,server,5,1,session,13,0,0,0,1,0,0.2
USR_001,2024-01-20 03:11:19,MacBook-Pro,Jakarta,admin,upload,public_docs,3584,1,temporal,3,0,0,1,0,0,0.2
USR_001,2024-01-20 12:43:37,MacBook-Pro,Jakarta,admin,download,admin_panel,3833,0,None,12,0,0,0,0,0,0.0
USR_001,2024-01-20 15:57:07,MacBook-Pro,Jakarta,admin,logout,database,3453,0,None,15,0,0,0,0,0,0.0
USR_001,2024-01-22 09:16:35,MacBook-Pro,Jakarta,admin,download,internal_tool,3376,0,None,9,0,0,0,0,0,0.0
USR_001,2024-01-22 10:28:49,MacBook-Pro,Jakarta,admin,login,database,3502,0,None,10,0,0,0,0,0,0.0
USR_001,2024-01-22 10:42:41,MacBook-Pro,Jakarta,admin,logout,server,3674,0,None,10,0,0,0,0,0,0.0
USR_001,2024-01-23 15:48:57,MacBook-Pro,Jakarta,admin,login,admin_panel,3609,0,None,15,0,0,0,0,0,0.0
USR_001,2024-01-24 02:33:08,MacBook-Pro,Jakarta,admin,login,admin_panel,3893,1,temporal,2,0,0,1,0,0,0.2
USR_001,2024-01-24 13:18:09,MacBook-Pro,Jakarta,admin,upload,internal_tool,3472,0,None,13,0,0,0,0,0,0.0
USR_001,2024-01-24 15:01:23,MacBook-Pro,Jakarta,admin,login,admin_panel,3370,0,None,15,0,0,0,0,0,0.0
USR_001,2024-01-25 09:28:14,MacBook-Pro,Jakarta,admin,login,server,3877,0,None,9,0,0,0,0,0,0.0
USR_001,2024-01-25 10:03:14,MacBook-Pro,Jakarta,admin,file_access,admin_panel,3685,0,None,10,0,0,0,0,0,0.0
USR_001,2024-01-26 08:41:01,MacBook-Pro,Jakarta,admin,logout,database,3486,0,None,8,0,0,0,0,0,0.0
USR_001,2024-01-26 12:31:39,iPhone-13,Jakarta,admin,logout,server,3923,1,behavioral,12,1,0,0,0,0,0.2
USR_001,2024-01-26 14:08:37,MacBook-Pro,Jakarta,admin,upload,public_docs,3689,0,None,14,0,0,0,0,0,0.0
USR_001,2024-01-28 14:28:06,MacBook-Pro,Jakarta,admin,upload,admin_panel,3811,0,None,14,0,0,0,0,0,0.0
USR_001,2024-01-29 14:05:15,MacBook-Pro,Jakarta,admin,download,server,3434,0,None,14,0,0,0,0,0,0.0
USR_001,2024-01-30 11:08:53,MacBook-Pro,Jakarta,admin,download,internal_tool,3379,0,None,11,0,0,0,0,0,0.0
USR_001,2024-01-30 12:49:02,MacBook-Pro,Jakarta,admin,file_access,database,3479,0,None,12,0,0,0,0,0,0.0
USR_001,2024-01-30 13:42:10,MacBook-Pro,Jakarta,admin,file_access,server,3746,0,None,13,0,0,0,0,0,0.0
USR_002,2024-01-01 14:22:36,iPhone-13,Bandung,guest,logout,admin_panel,989,1,privilege,14,0,0,0,0,0,0.4
